Fecha|Total
2018-07-30|8674.039999999999
2018-07-31|3561.8500000000004
2018-08-01|0.0
2018-08-02|0.0
2018-08-03|0.0
2018-08-04|0.0
2018-08-05|0.0
2018-08-06|0.0
2018-08-07|0.0
2018-08-08|0.0
2018-08-09|0.0
2018-08-10|0.0
2018-08-11|0.0
2018-08-12|0.0
2018-08-13|0.0
2018-08-14|0.0
2018-08-15|0.0
2018-08-16|0.0
2018-08-17|0.0
2018-08-18|0.0
2018-08-19|0.0
2018-08-20|0.0
2018-08-21|0.0
2018-08-22|0.0
2018-08-23|0.0
2018-08-24|0.0
2018-08-25|0.0
2018-08-26|0.0
2018-08-27|0.0
2018-08-28|0.0
2018-08-29|0.0
2018-08-30|0.0
2018-08-31|0.0
2018-09-01|0.0
2018-09-02|0.0
2018-09-03|19435.66
2018-09-04|9113.6
2018-09-05|10282.12
2018-09-06|10644.220000000001
2018-09-07|997.11
2018-09-08|1400.0
2018-09-09|0.0
2018-09-10|6227.6
2018-09-11|1841.88
2018-09-12|0.0
2018-09-13|720.36
2018-09-14|3877.63
2018-09-15|0.0
2018-09-16|0.0
2018-09-17|997.11
2018-09-18|17113.33
2018-09-19|4996.36
2018-09-20|0.0
2018-09-21|3232.87
2018-09-22|4257.57
2018-09-23|0.0
2018-09-24|0.0
2018-09-25|0.0
2018-09-26|10316.77
2018-09-27|0.0
2018-09-28|11256.79
2018-09-29|200.0
2018-09-30|0.0
2018-10-01|12855.93
2018-10-02|20720.75
2018-10-03|3165.76
2018-10-04|0.0
2018-10-05|3323.71
2018-10-06|13077.5
2018-10-07|0.0
2018-10-08|24279.36
2018-10-09|16898.170000000002
2018-10-10|8322.91
2018-10-11|0.0
2018-10-12|0.0
2018-10-13|1174.15
2018-10-14|0.0
2018-10-15|4061.5299999999997
2018-10-16|3104.19
2018-10-17|8860.07
2018-10-18|6953.4800000000005
2018-10-19|0.0
2018-10-20|0.0
2018-10-21|0.0
2018-10-22|0.0
2018-10-23|0.0
2018-10-24|0.0
2018-10-25|16673.7
2018-10-26|3215.8
2018-10-27|0.0
2018-10-28|0.0
2018-10-29|3479.06
2018-10-30|2819.93
2018-10-31|1107.9
2018-11-01|24414.75
2018-11-02|17274.02
2018-11-03|11917.539999999999
2018-11-04|0.0
2018-11-05|23109.48
2018-11-06|960.55
2018-11-07|0.0
2018-11-08|9887.25
2018-11-09|4642.48
2018-11-10|4025.12
2018-11-11|0.0
2018-11-12|6821.8
2018-11-13|4301.22
2018-11-14|2932.6
2018-11-15|3769.7300000000005
2018-11-16|941.72
2018-11-17|0.0
2018-11-18|0.0
2018-11-19|0.0
2018-11-20|10635.85
2018-11-21|4669.75
2018-11-22|879.75
2018-11-23|9762.06
2018-11-24|0.0
2018-11-25|0.0
2018-11-26|2215.8
2018-11-27|3368.01
2018-11-28|9854.49
2018-11-29|11146.0
2018-11-30|6942.03
2018-12-01|0.0
2018-12-02|0.0
2018-12-03|23077.06
2018-12-04|41211.05
2018-12-05|1107.9
2018-12-06|9906.41
2018-12-07|0.0
